"results_id";"start";"duration";"class";"steps";"mi";"aee";"tee";"met";"vmu"
529;"2015-06-27 03:07:00.00";60;"lying";0;0.0043;6.823;98.279;1.05;0
529;"2015-06-27 03:08:00.00";60;"lying";0;0.0135;22.466;115.661;1.22;6.448
529;"2015-06-27 03:09:00.00";60;"lying";0;0.00638;10.36;102.209;1.09;0
529;"2015-06-27 03:10:00.00";60;"lying";0;0.00643;10.445;102.303;1.09;0
529;"2015-06-27 03:11:00.00";60;"lying";0;0.00886;14.577;106.894;1.13;3.301
529;"2015-06-27 03:12:00.00";60;"lying";0;0.00511;8.2;99.809;1.07;0
529;"2015-06-27 03:13:00.00";60;"lying";0;0.00665;10.819;102.719;1.09;0
529;"2015-06-27 03:14:00.00";60;"lying";0;0.00546;8.795;100.47;1.07;0
529;"2015-06-27 03:15:00.00";60;"lying";0;0.00499;7.996;99.582;1.06;0
529;"2015-06-27 03:16:00.00";60;"lying";0;0.00448;7.129;98.619;1.06;0
529;"2015-06-27 03:17:00.00";60;"lying";0;0.00535;8.608;100.263;1.07;0
529;"2015-06-27 03:18:00.00";60;"lying";0;0.00471;7.52;99.053;1.06;0
529;"2015-06-27 03:19:00.00";60;"lying";0;0.00487;7.792;99.356;1.06;0
529;"2015-06-27 03:20:00.00";60;"lying";0;0.0047;7.503;99.035;1.06;0
529;"2015-06-27 03:21:00.00";60;"lying";0;0.00528;8.489;100.13;1.07;0
529;"2015-06-27 03:22:00.00";60;"lying";0;0.00463;7.384;98.902;1.06;0
529;"2015-06-27 03:23:00.00";60;"lying";0;0.00556;8.965;100.659;1.07;0
529;"2015-06-27 03:24:00.00";60;"lying";0;0.00483;7.724;99.28;1.06;0
529;"2015-06-27 03:25:00.00";60;"lying";0;0.0074;12.094;104.136;1.11;0
529;"2015-06-27 03:26:00.00";60;"lying";0;0.00561;9.05;100.754;1.08;0
529;"2015-06-27 03:27:00.00";60;"lying";0;0.00459;7.316;98.827;1.06;0
529;"2015-06-27 03:28:00.00";60;"lying";0;0.00488;7.809;99.375;1.06;0
529;"2015-06-27 03:29:00.00";60;"lying";0;0.00478;7.639;99.186;1.06;0
529;"2015-06-27 03:30:00.00";60;"lying";0;0.00441;7.01;98.487;1.05;0
529;"2015-06-27 03:31:00.00";60;"lying";0;0.00441;7.01;98.487;1.05;0
529;"2015-06-27 03:32:00.00";60;"lying";0;0.00431;6.84;98.298;1.05;0
